---config@码表分类=主码-系统码表
---config@码表别名= 系统词库
啊	a
阿	aa
阿爸	aab
阿爸	aaba
嗷嗷待哺	aadb
阿	aae
阿	aaek
阿哥	aag
阿哥	aage
啊哈	aah
啊哈	aaha
安安静静	aajj
吖	aak
呵	aakk
嗄	aakw
阿拉	aal
阿拉	aala
阿妹	aam
阿妈	aama
阿曼	aamj
阿妹	aamw
腌	aao
腌	aaod
阿婆	aap
阿婆	aapo
安安稳稳	aaww
阿姨	aay
啊呀	aaya
阿姨	aayi
安保	ab
按兵不动	abbd
哀兵必胜	abbu
安邦定国	abdg
阿鼻地狱	abdy
矮半截	abj
按部就班	abjb
矮半截	abjp
爱别离苦	ablk
鞍不离马	ablm
爱不释手	abuu
阿布扎比	abvb
爱才若渴	acrk
爱财如命	acrm
安定	ad
暗渡陈仓	adic
奥地利	adl
奥地利	adli
澳大利亚	adly
暗淡无光	adwg
安度晚年	adwn
阿尔及尔	aeje
爱尔兰	ael
爱尔兰	aelj
安分	af
阿富汗	afh
阿富汗	afhj
安分守己	afuj
昂贵	ag
安哥拉	agl
安哥拉	agla
阿根廷	agt
阿根廷	agtk
熬更守夜	aguy
爱国者	agv
爱国者	agve
爱国主义	agvy
昂	ah
哀鸿遍野	ahby
昂贵	ahg
昂贵	ahgv
肮	aho
昂	ahoe
肮	ahoj
昂起	ahq
昂起	ahqi
盎然	ahr
盎然	ahrj
盎司	ahs
盎司	ahsi
昂首	ahu
昂首	ahuz
爱好者	ahv
爱好者	ahve
盎	ahy
昂扬	ahyh
盎	ahym
肮脏	ahz
肮脏	ahzh
爱	ai
皑皑	aia
皑皑	aiai
癌	aib
癌	aibe
皑	aibj
癌变	aibm
艾	aic
爱才	aicd
蔼	aicv
艾	aicx
挨打	aid
挨打	aida
哀悼	aidc
爱戴	aidd
隘	aie
挨饿	aiee
隘	aiem
挨	aif
挨罚	aifa
爱抚	aifu
爱妃	aifw
爱国	aig
哀告	aigc
挨个	aige
爱岗	aigh
爱国	aigo
爱好	aih
爱好	aihc
爱河	aihe
爱恨	aihf
爱火	aiho
爱护	aihu
哀愁	aii
爱巢	aiic
爱称	aiig
爱吃	aiii
哀愁	aiiz
挨近	aijb
埃及	aiji
爱将	aijl
唉	aik
哀恳	aikf
爱看	aikj
爱哭	aiku
哎	aikx
嗳	aiky
爱恋	ail
爱恋	ailm
爱侣	ailv
爱慕	aim
挨骂	aima
爱民	aimb
哀鸣	aimk
爱慕	aimu
暧昧	aimw
嫒	ain
爱女	ainv
嫒	ainy
暧	aio
暧	aioy
爱	aip
矮胖	aiph
爱	aipy
爱卿	aiq
爱妻	aiqi
爱情	aiqk
矮墙	aiql
哀切	aiqp
哀求	aiqq
爱犬	aiqr
爱人	air
爱人	airf
欸	ais
哀思	aisi
欸	aisr
埃	ait
哀啼	aiti
哀叹	aitj
爱听	aitk
哀痛	aits
爱徒	aitu
矮	aiu
碍	aiuc
爱神	aiuf
爱上	aiuh
碍事	aiui
矮	aiun
碍手	aiuz
挨着	aiv
挨着	aive
癌症	aivg
哀	aiw
爱玩	aiwj
瑷	aiwy
爱心	aix
爱心	aixb
爱惜	aixi
矮小	aixn
暗潮汹涌	aixy
霭	aiy
哎呀	aiya
爱意	aiyi
碍眼	aiyj
哎哟	aiyo
哀怨	aiyr
爱用	aiys
哀乐	aiyt
碍于	aiyu
霭	aiyv
艾滋	aiz
爱憎	aizg
爱子	aizi
阿昌族	aizu
挨揍	aizz
安静	aj
挨家挨户	ajah
挨肩擦背	ajcb
安家落户	ajlh
安居乐业	ajly
阿基米德	ajmd
暗箭难防	ajnf
氨基酸	ajs
氨基酸	ajsr
暗箭伤人	ajur
拗口	ak
按理	al
阿拉伯	alb
阿拉伯联合酋长国	albg
爱理不理	albl
阿拉伯	albo
阿拉伯数字	albz
安理会	alh
安理会	alhv
奥林匹克	alpk
阿联酋	alq
按劳取酬	alqi
阿联酋	alqq
安乐死	als
安乐死	alsi
按理说	alu
按理说	aluo
安乐窝	alw
安乐窝	alwo
吗	am
阿猫阿狗	amag
哀莫大于心死	amds
鞍马劳顿	amld
爱莫能助	amnv
爱民如子	amrz
阿姆斯特丹	amsd
爱美之心	amvx
奥妙无穷	amwq
安眠药	amy
安眠药	amyc
爱面子	amz
爱面子	amzi
安	an
暗暗	anan
案	anb
安保	anbc
案板	anbj
岸边	anbm
安	anbn
按捺不住	anbv
懊恼不已	anby
暗藏	anc
暗藏	anch
按此	anci
按错	anco
鹌	and
暗道	andc
暗地	andi
暗淡	andj
安定	andk
鹌	andn
安度	andu
安顿	andy
岸	ane
岸	aneg
按	anf
案发	anfa
安分	anff
暗讽	anfg
安放	anfh
案犯	anfj
按	anfn
安抚	anfu
庵	ang
庵	angd
暗格	ange
鞍	angn
暗沟	angz
黯	anh
暗号	anhc
暗害	anhd
暗合	anhe
暗含	anhj
暗黄	anhl
黯	anho
暗红	anhs
安徽	anhv
暗黑	anhw
安插	ani
安插	ania
暗潮	anic
暗娼	anih
暗疮	anil
暗处	aniu
鹌鹑	aniy
铵	anj
按季	anji
安静	anjk
按键	anjm
暗礁	anjn
按揭	anjp
案卷	anjr
安居	anju
安家	anjx
安康	ankh
暗亏	ankv
按理	anl
安乐	anle
案例	anli
按铃	anlk
暗恋	anlm
暗流	anlq
暗绿	anlv
桉	anm
鞍马	anma
安民	anmb
暗门	anmf
安眠	anmm
桉	anmn
按摩	anmo
按钮	ann
按捺	anna
安能	anng
安宁	annk
按年	annm
按钮	annq
暗	ano
胺	anon
暗	anoo
安排	anp
安排	anpd
氨	anq
安寝	anqb
按期	anqi
暗器	anqi
案情	anqk
氨	anqn
安全	anqr
俺	anr
俺	anrd
按日	anri
安然	anrj
暗算	ans
暗锁	anso
暗算	ansr
安泰	antd
暗探	antj
安妥	anto
案头	antz
按时	anu
暗杀	anua
暗哨	anuc
安设	anue
安神	anuf
安生	anug
岸上	anuh
暗示	anui
鞍山	anuj
按说	anuo
谙熟	anuu
安睡	anuv
安装	anv
按照	anvc
按着	anve
安置	anvi
安装	anvl
安卓	anvo
暗中	anvs
按住	anvu
安危	anw
安稳	anwf
安慰	anww
暗箱	anx
安心	anxb
安息	anxi
安详	anxl
安闲	anxm
暗笑	anxn
按下	anxx
谙	any
按压	anya
暗夜	anye
安逸	anyi
暗影	anyk
谙	anyo
按月	anyt
暗语	anyu
暗自	anz
安葬	anzh
案子	anzi
奥	ao
嗷嗷	aoa
傲岸	aoan
嗷嗷	aoao
翱	aob
翱	aobx
澳	aod
熬到	aodc
澳	aodd
奥迪	aodi
熬	aof
鳌	aofa
熬	aofh
螯	aofi
鏊	aofj
拗	aofl
骜	aofm
獒	aofq
敖	aofw
鏖	aog
鏖	aogj
熬过	aogo
傲骨	aogu
懊悔	aoh
懊悔	aohv
嗷	aok
嗷	aokw
拗口	aokz
凹	aol
凹	aola
傲慢	aom
澳门	aomf
奥秘	aomi
傲慢	aomj
奥妙	aomn
懊恼	aonc
袄	aop
奥	aopd
袄	aopy
傲气	aoq
傲气	aoqi
傲	aor
傲	aorw
懊丧	aos
懊丧	aosh
坳	aot
熬汤	aoth
坳	aotl
凹凸	aotu
傲视	aou
傲视	aoui
澳洲	aov
鏖战	aovj
澳洲	aovz
懊	aox
懊	aoxd
翱翔	aoxl
凹陷	aoxm
熬药	aoyc
熬夜	aoye
奥运	aoyy
遨游	aoyz
遨	aoz
遨	aozw
安排	ap
安贫乐道	apld
安全	aq
哀其不争	aqbv
安全感	aqg
安全感	aqgj
爱琴海	aqh
爱琴海	aqhd
鞍前马后	aqmh
爱钱如命	aqrm
黯然	ar
安如泰山	artu
黯然失色	arus
黯然神伤	aruu
安然无恙	arwy
黯然销魂	arxh
傲然屹立	aryl
暗算	as
埃塞俄比亚	asey
爱斯基摩	asjm
奥斯卡	ask
奥斯卡	aska
奥斯陆	asl
奥斯陆	aslu
阿司匹林	aspl
暗送秋波	asqb
凹凸	at
凹凸不平	atbp
按图索骥	atsj
哀痛欲绝	atyj
按时	au
碍手碍脚	auaj
昂首阔步	aukb
安身立命	aulm
阿诗玛	aum
阿诗玛	auma
傲视群雄	auqx
唉声叹气	autq
昂首挺胸	autx
安身之地	auvd
安身之处	auvi
按照	av
安装版	avb
安装版	avbj
安枕而卧	avew
安之若素	avrs
爱之欲其生	avyu
安慰	aw
奥委会	awh
奥委会	awhv
爱屋及乌	awjw
暗无天日	awtr
爱惜	ax
按需分配	axfp
爱新觉罗	axjl
暗香疏影	axuy
爱惜羽毛	axym
安逸	ay
奥运会	ayh
奥运会	ayhv
爱因斯坦	ayst
