---config@码表分类=辅码码表
---config@码表别名= 补充简码
按	a
吧	b
宝	bc
笨	bf
甭	bg
逼	bi
背景	bj
背	bw
此	c
猜	cd
打	d
搭	da
道	dc
得到	dd
冻	ds
逗	dz
嗯	e
发	f
分别	fb
份	ff
疯	fg
复	fu
管	g
搞	gc
钙	gd
刚刚	gg
官	gr
功	gs
故	gu
化	h
华	hx
扯	ie
程	ig
臭	iz
见	j
今	jb
尽管	jg
极	ji
贱	jm
居	ju
截止	jv
佳	jx
块	k
量	l
溜	lq
嘛	m
骂	ma
美	mw
哪	n
浓	ns
期	q
全部	qb
弃	qi
缺	qt
趋	qu
入	r
惹	re
忍	rf
扔	rg
仍然	rr
随	s
虽然	sr
搜索	ss
随着	sv
它	t
淘	tc
推倒	td
疼	tg
替	ti
通	ts
退	tv
十	u
束缚	uf
省	ug
伤害	uh
室	ui
守	uz
之	v
招	vc
宅	vd
症	vg
战	vj
追求	vq
终	vs
玩	w
文	wf
忘	wh
位	ww
性	x
心	xb
型	xk
凶	xs
修正	xv
隐	yb
杨	yh
严	yj
园	yr
语	yu
友	yz
子	z
造	zc
