---config@码表分类=主码-1
---config@码表别名= 符号编码
$ddcmd(！,！)	oa#序16300
$ddcmd(%,%)	ob#序16302
$ddcmd(一,一)	ob#序16290
$ddcmd(丨,丨)	ob#序16289
$ddcmd(丶,丶)	ob#序16287
$ddcmd(丿,丿)	ob#序16288
$ddcmd(乀,乀)	ob#序16285
$ddcmd(乛,乛)	ob#序16286
$ddcmd(鱼,鱼)	oba#序16284
$ddcmd(丷,丷)	obb#序16281
$ddcmd(冖,冖)	obb#序16283
$ddcmd(勹,勹)	obb#序16279
$ddcmd(宀,宀)	obb#序16282
$ddcmd(比左部,比左部)	obb#序16278
$ddcmd(疒,疒)	obb#序16280
$ddcmd(廾,廾)	obc#序16276
$ddcmd(艹,艹)	obc#序16277
$ddcmd(冫,冫)	obd#序16275
$ddcmd(刂,刂)	obd#序16272
$ddcmd(氵,氵)	obd#序16274
$ddcmd(,)	obd#序16273
$ddcmd(卩,卩)	obe#序16270
$ddcmd(山,山)	obe#序16268
$ddcmd(彐,彐)	obe#序16269
$ddcmd(见下部,见下部)	obe#序16267
$ddcmd(阝,阝)	obe#序16271
$ddcmd(寿带上部,寿带上部)	obf#序16265
$ddcmd(扌,扌)	obf#序16266
$ddcmd(缶,缶)	obf#序16263
$ddcmd(,)	obf#序16264
$ddcmd(既左部,既左部)	obg#序16262
$ddcmd(艮,艮)	obg#序16261
$ddcmd(革,革)	obg#序16259
$ddcmd(骨,骨)	obg#序16258
$ddcmd(鬼,鬼)	obg#序16260
$ddcmd(余下部,余下部)	obh#序16254
$ddcmd(灬,灬)	obh#序16257
$ddcmd(虍,虍)	obh#序16256
$ddcmd(黑,黑)	obh#序16255
$ddcmd(亍,亍)	obi#序16252
$ddcmd(彳,彳)	obi#序16253
$ddcmd(虫,虫)	obi#序16251
$ddcmd(金,金)	obj#序16249
$ddcmd(钅,钅)	obj#序16250
$ddcmd(,)	obj#序16248
$ddcmd(㠯,㠯)	obk#序16243
$ddcmd(冂,冂)	obk#序16246
$ddcmd(凵,凵)	obk#序16245
$ddcmd(匚,匚)	obk#序16247
$ddcmd(囗,囗)	obk#序16244
$ddcmd(立,立)	obl#序16241
$ddcmd(耂,耂)	obl#序16242
$ddcmd(龙,龙)	obl#序16240
$ddcmd(朩,朩)	obm#序16239
$ddcmd(牜,牜)	obn#序16237
$ddcmd(,)	obn#序16238
$ddcmd(日,日)	obo#序16236
$ddcmd(月,月)	obo#序16235
$ddcmd(目,目)	obo#序16234
$ddcmd(礻,礻)	obp#序16233
$ddcmd(衤,衤)	obp#序16232
$ddcmd(具其上部,具其上部)	obq#序16229
$ddcmd(求,求)	obq#序16230
$ddcmd(犭,犭)	obq#序16231
$ddcmd(亻,亻)	obr#序16228
$ddcmd(厶,厶)	obs#序16226
$ddcmd(纟,纟)	obs#序16227
$ddcmd(罒,罒)	obs#序16224
$ddcmd(,)	obs#序16225
$ddcmd(田,田)	obt#序16223
$ddcmd(氺,氺)	obu#序16219
$ddcmd(石,石)	obu#序16218
$ddcmd(饣,饣)	obu#序16222
$ddcmd(,)	obu#序16220
$ddcmd(,)	obu#序16221
$ddcmd(豸,豸)	obv#序16216
$ddcmd(,)	obv#序16217
$ddcmd(亠,亠)	obw#序16215
$ddcmd(夂,夂)	obw#序16214
$ddcmd(攵,攵)	obw#序16213
$ddcmd(文,文)	obw#序16212
$ddcmd(⺍,⺍)	obx#序16209
$ddcmd(乂,乂)	obx#序16210
$ddcmd(忄,忄)	obx#序16211
$ddcmd(,)	obx#序16208
$ddcmd(,)	obx#序16207
$ddcmd(羊,羊)	oby#序16202
$ddcmd(衣底,衣底)	oby#序16203
$ddcmd(讠,讠)	oby#序16206
$ddcmd(,)	oby#序16205
$ddcmd(,)	oby#序16204
$ddcmd(廴,廴)	obz#序16200
$ddcmd(辶,辶)	obz#序16199
$ddcmd(,)	obz#序16201
$ddcmd(”,”)	oc#序16297
$ddcmd(newkey(ofbd),bd\\2标点\\3、，。)	of#序15152
$ddcmd(newkey(ofdu),du\\2点号数字\\3⒈⒉⒊)	of#序15145
$ddcmd(newkey(ofdw),dw\\2单位\\3㎎㎏㎜)	of#序15150
$ddcmd(newkey(ofed),ed\\2俄文大写\\3АБВ)	of#序15134
$ddcmd(newkey(ofex),ex\\2俄文小写\\3абв)	of#序15133
$ddcmd(newkey(ofhb),hb\\2货币符号\\3€＄￠)	of#序15139
$ddcmd(newkey(ofjt),jt\\2箭头\\3←→↑)	of#序15148
$ddcmd(newkey(ofku),ku\\2括号数字\\3⑴⑵⑶)	of#序15146
$ddcmd(newkey(ofld),ld\\2罗马大写\\3ⅠⅡⅢ)	of#序15143
