---config@码表分类=主码-次显码表
---config@码表别名= 隐藏全码
挨	aifu#序15752
唉	aiku#序15751
哀	aiwy#序15750
𩽾	anan#序15753
案	anbm#序15749
铵	anjn#序15748
埯	antd#序15747
岙	aoye#序15746
爸	babb#序13055
把	bafb#序13054
拔	bafd#序13052
吧	bakb#序13051
耙	balb#序13050
粑	bamb#序13049
滨	bbdb#序13048
豳	bbuu#序13083
鸨	bcbn#序13007
瀑	bcdu#序13047
报	bcfy#序13053
爆	bchu#序13046
暴	bcou#序13045
龅	bcvs#序13006
豹	bcvu#序13044
趵	bczu#序13005
稗	bdhu#序13004
佰	bdrb#序13003
栟	bfmk#序13080
犇	bfnn#序12979
畚	bfst#序13082
笨	bfvb#序13043
蚄	bhif#序13065
蚌	bhif#序13042
𠳐	bhke#序13081
棒	bhml#序13041
傍	bhrf#序13040
比	bibb#序13039
毙	bibb#序13038
皕	bibb#序13061
芘	bicb#序13074
苾	bicb#序13070
萆	bicu#序13076
薜	bicu#序13002
沘	bidb#序13073
庇	bigb#序13037
秕	bihb#序13001
馝	bihb#序13058
铋	bijb#序12980
咇	bikb#序13069
闭	bimc#序13036
祕	bipb#序13068
俾	biru#序13000
璧	biuy#序13035
襞	biuy#序13079
舭	bivb#序13075
箅	bivl#序12983
碧	biwu#序13034
愎	bixw#序12999
诐	biyy#序13072
跸	bizu#序12998
避	bizu#序13033
半	bjdl#序13056
阪	bjey#序12982
搬	bjfy#序13032
瓣	bjlu#序13031
板	bjmy#序13008
坂	bjty#序12997
般	bjvy#序13030
𨭉	bjwj#序13057
班	bjww#序13029
冰	bkdu#序13028
柄	bkmb#序13027
槟	bkmb#序12996
饼	bkuk#序13026
鞭	bmgg#序13025
扁	bmhc#序13024
煸	bmhc#序13077
辩	bmlu#序13023
辫	bmlu#序13022
褊	bmpc#序12995
编	bmsc#序13021
𨚕	bmse#序13071
砭	bmuf#序12994
笾	bmvz#序12993
忭	bmxb#序12992
遍	bmzc#序13020
幖	bnjx#序13059
镖	bnjx#序12991
骉	bnmm#序13067
标	bnmx#序13019
婊	bnny#序12990
浡	bodz#序13064
铂	bojb#序12989
博	bouc#序13018
箔	bovb#序12981
蔀	buce#序13060
捕	buff#序13017
钚	bujb#序12988
哺	bukf#序13016
卜	buld#序13015
部	bule#序13009
瓿	bulw#序12987
补	bupb#序13013
埗	butp#序13066
埠	butu#序13012
布	buuj#序13014
呗	bwkr#序12986
邶	bwle#序13078
棓	bwmk#序13062
褙	bwpo#序12985
碑	bwuu#序13011
孛	bwuz#序12984
琲	bwwf#序13063
悖	bwxz#序13010
材	cdmc#序15096
苍	chcv#序15095
仓	chrv#序15094
粢	cidm#序15098
祠	cipk#序15093
辞	ciqu#序15092
词	ciyk#序15097
残	cjdj#序15091
锉	cojt#序15089
汆	crru#序15088
熜	cshx#序15099
琮	cswx#序15087
蔟	cucu#序15086
萃	cvcu#序15085
毳	cvmm#序15084
翠	cvxu#序15090
瘩	dabk#序13109
靼	dagd#序13071
鞑	dagz#序13070
炟	dahd#序13120
𨱏	dajk#序13114
哒	dakz#序13047
褡	dapk#序13069
垯	datz#序13121
惮	daxl#序13058
达	dazd#序13108
鱽	dcad#序13118
盗	dcdm#序13107
氘	dcql#序13068
殆	dddk#序13067
代	ddry#序13106
等	dgvc#序13105
档	dhme#序13103
筜	dhve#序13116
党	dhxe#序13104
谠	dhye#序13066
的	dibu#序13111
涤	didm#序13101
浟	didw#序13117
底	digd#序13100
䗖	diij#序13113
杕	dimd#序13123
禘	dipj#序13115
缔	disj#序13099
氐	diud#序13065
帝	diwj#序13098
玓	diwu#序13045
羝	diyd#序13046
谛	diyj#序13064
疸	djbd#序13062
单	djbl#序13097
淡	djdh#序13096
澹	djdk#序13061
